video,question,starttime,endtime,frame,timestamp,confidence,success,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67
337,have you been diagnosed with depression,1166.6,1487.13,39807.0,1326.86666632,0.963085836643,1.0,595.72647884,598.753733389,604.106480399,611.924436519,627.935765935,655.43436893,692.266350941,731.417761672,766.984552251,796.98833628,821.90179661,844.991073828,864.342292399,876.751023604,882.527065821,885.009830093,885.230556618,632.262825621,652.949541853,679.907234793,707.104705106,732.630898097,780.698212124,803.381933451,825.717983155,848.256157534,865.472362067,759.073465218,762.316704794,765.649000624,769.045757409,736.535795986,751.291398357,766.138352605,779.292747738,790.930727878,667.9995013,684.713784548,701.625334512,716.900301133,702.098603515,685.100734117,789.773870854,804.272631798,820.059179474,834.553260788,822.100900177,806.650236768,710.498194967,733.191467401,753.96565353,766.687835188,780.493918166,797.110982011,812.381716544,798.288601435,783.436680566,768.307296766,754.484425704,733.487922429,719.780216804,753.764215036,766.715327129,780.686769679,804.962711344,781.086315899,766.636602787,753.471759592,369.629018717,404.266622543,439.791724654,474.003742851,505.498481439,531.607622231,550.257489862,564.102117084,567.147963606,560.447741395,545.285179994,527.743022044,504.933053239,474.935807216,439.416310284,402.123976812,365.188679422,343.399364875,327.252140272,322.506292815,324.838169076,331.641207861,326.851814599,317.36315535,312.355089113,314.246518249,327.18871332,353.33386815,373.412207445,393.29335874,414.212132578,430.969558906,434.438943122,436.921879484,432.26351253,427.340198711,360.718768327,353.667519081,352.206791723,359.841553395,362.620520745,363.755235728,354.878293335,344.833131122,344.188392222,349.56338224,354.330372049,355.625265155,473.857885099,461.871921805,455.9701175,458.209415826,454.308732661,458.612695123,467.019975148,482.802173131,491.245253821,494.124102423,494.099534054,489.088143912,472.834723406,467.532994801,467.707518249,465.487713736,467.689349485,473.395629406,476.385409691,476.676804513
337,is there anything you regret,882.36,994.63,28156.0,938.5,0.965395555061,1.0,601.750506975,603.840718314,608.836828139,616.345140101,631.279572277,656.705463045,690.410823093,727.34588038,762.556084001,793.721261799,821.059428614,846.103333037,867.173152864,880.96130187,887.79699347,891.036274265,891.794685367,634.54259068,654.669439299,680.055549718,705.315652716,728.584134461,779.786898783,802.522679133,824.962022559,847.883225883,866.49148976,756.269402196,758.610964381,760.937080439,763.260129712,732.66434016,746.962129118,761.418102107,774.841822796,786.917677649,668.077229445,684.368831107,701.61091778,716.775979816,701.536905016,684.304749481,789.454080439,804.069153458,820.51857287,835.318612348,822.47252894,806.403995548,708.337156129,729.195888691,749.053872959,761.999392698,776.283129118,793.804344316,810.069035916,794.976587118,778.979871178,763.405474622,749.305948649,729.334005046,717.574125557,748.815360344,761.989457109,776.446790739,802.295487979,776.875401306,761.994395963,748.568083408,373.570932027,408.147140101,443.551275453,477.833030276,509.349181953,536.234894924,556.164505194,571.068687444,575.103856931,569.944428911,556.374785099,539.031237459,515.54176818,484.230349955,446.703189967,407.252390917,368.427241912,339.978505194,324.967669041,321.5774019,324.681536658,331.598127041,327.831448798,318.676520926,314.089612942,316.012026714,328.651788068,355.104563075,375.4963645,395.672701692,416.855581181,434.025477887,437.798804987,440.532605224,436.17775423,431.705635203,361.559297121,354.045840902,353.087561888,361.608548531,364.419103592,365.188083408,358.125886316,347.83990561,347.433379935,353.641861977,358.489991986,359.511098546,479.161737014,465.828681211,459.654246364,462.160813891,458.558602256,464.01345236,474.339674978,489.971776788,497.69418225,500.036487385,499.59327011,494.119437519,478.175775898,471.85557851,472.194361532,470.398809736,474.640133274,479.700909766,482.077235085,481.918066489
337,what are some things that make you really mad,488.57,535.15,15356.5,511.85,0.95399677897,1.0,564.6476402,569.57933691,577.245032189,587.098729614,603.30543133,627.611028612,657.041173104,688.726665951,721.625069385,753.163079399,783.146555794,810.345532189,832.79995422,845.97191774,850.211259657,850.594996423,848.677183834,582.126010014,598.160128755,622.000688841,646.418248212,668.978175966,717.935718169,741.974747496,766.80588269,792.931749642,814.56688269,697.327826896,699.601899142,701.629408441,703.812995708,677.948631617,691.871371245,706.195878398,719.934881974,732.523671674,616.182229614,630.847502146,647.773503577,663.513343348,648.138195994,631.293642346,734.52877897,748.715236052,765.680424893,781.794080114,767.931588698,751.356381259,661.054539342,677.845754649,695.731665951,708.717095851,723.321677396,743.039607296,763.233273247,746.482681688,729.102392704,713.27346495,699.119331187,680.405269671,669.403371245,696.615037196,709.672722461,724.599941345,755.091824034,726.088669528,710.897515737,697.534609442,373.386356938,407.402758941,441.219596567,473.303728183,501.090001431,523.975806867,540.440862661,552.917354077,555.303387697,549.287374106,535.229810443,516.076922747,490.115051502,456.018738913,416.062812589,374.814773963,334.414798999,334.594772532,317.596006438,312.438294707,313.998624464,319.334814735,313.140356223,302.001300429,295.908212446,297.046371245,309.5362103,339.393199571,360.001754649,380.432992847,401.833465665,418.771523605,422.17380329,424.344982117,418.827165236,413.660834764,350.575842632,342.172106581,340.113070815,347.609929185,351.330040773,353.331291845,339.86791917,328.899281831,327.721313305,332.752824034,338.51788412,340.40180329,463.728689557,450.920110157,444.436927754,446.202113019,441.655145207,445.355052217,452.762054363,470.301226753,479.100467811,482.100483548,482.185421316,477.266526466,462.604774678,455.484723176,455.289471388,452.538775393,453.662449213,461.557141631,464.486925608,464.689520744
337,have you ever been diagnosed with p_t_s_d,1163.22,1165.91,34938.0,1164.56666667,0.969410703704,1.0,617.236506173,617.901802469,620.947407407,626.234938272,639.269975309,663.395074074,697.106716049,733.66962963,768.392185185,798.596283951,825.041049383,850.203308642,872.76837037,888.484160494,897.39362963,902.687728395,905.890691358,649.158395062,669.994962963,696.657444444,723.217740741,747.478061728,795.510716049,819.391320988,842.801185185,866.250987654,884.284753086,772.021135802,774.061938272,776.055555556,777.987296296,745.976987654,760.644024691,775.548641975,789.222567901,801.641,683.217296296,699.829283951,716.801790123,731.802432099,716.882506173,699.894716049,805.684975309,820.33562963,836.253308642,851.030296296,837.91682716,822.302098765,720.667592593,744.246765432,764.34045679,776.281222222,789.98437037,806.779839506,823.806135802,807.757061728,792.448839506,777.731555556,764.704358025,744.383209877,730.293074074,763.707716049,776.051901235,789.812839506,816.41154321,790.443901235,776.360851852,763.862716049,367.47254321,399.566925926,433.014814815,465.566851852,496.135604938,522.458123457,542.242654321,558.661814815,564.643580247,561.911160494,551.659185185,538.861901235,519.661839506,491.676888889,455.995098765,417.992617284,380.354074074,337.608987654,322.885876543,320.150580247,324.028975309,332.086975309,329.585765432,320.481518519,316.577283951,320.083617284,334.381691358,354.852049383,375.636530864,396.084037037,417.48237037,431.897555556,436.398432099,439.512160494,435.27691358,430.935765432,357.592641975,351.197654321,350.631074074,358.990876543,360.933123457,361.381444444,357.491802469,347.987839506,348.202111111,354.377123457,358.320765432,358.867790123,471.819037037,463.499518519,459.331061728,461.89717284,458.660506173,462.760012346,469.55882716,481.684345679,488.153777778,490.172345679,489.632283951,485.176876543,471.54862963,470.257395062,470.926617284,469.213987654,469.964864198,471.156,473.159444444,472.855567901
490,what are some things you wish you could change about yourself,525.741,548.778,16118.5,537.25,0.956984813584,1.0,727.805890173,722.783686416,720.241263006,719.855286127,725.096556358,738.999959538,760.947460983,789.435218208,823.247872832,857.427567919,887.457926301,912.057557803,928.34541763,937.793520231,944.007157514,950.013713873,953.970644509,759.230828035,775.868731214,796.982849711,817.764817919,836.499372832,870.163364162,889.932754335,909.066894509,926.555536127,937.041903179,851.252274566,849.499065029,847.917316474,846.129401734,820.089215318,830.342147399,840.557206647,851.464043353,861.387174855,780.170265896,793.324485549,806.809705202,817.912823699,805.335367052,791.823682081,876.00382948,889.883695087,902.851813584,912.779885838,901.70666763,888.818102601,793.556913295,811.359881503,826.988083815,836.106239884,846.636102601,859.187485549,870.640663295,856.403719653,843.099245665,831.994410405,821.945975434,807.833498555,800.679130058,825.224449422,834.640751445,845.155268786,863.69066763,844.634859827,834.044381503,824.649978324,402.448145954,433.659537572,465.97775578,498.155017341,530.490044798,560.591900289,586.713839595,609.287867052,619.265101156,617.073057803,601.737225434,580.715062139,555.435566474,526.978302023,498.932595376,471.002436416,442.041302023,400.951988439,390.765140173,390.11507948,397.715050578,408.852654624,413.38591185,408.873569364,408.275518786,413.088443642,425.421086705,434.066716763,450.790953757,467.48940896,485.394640173,500.568049133,505.456816474,509.990965318,509.115924855,506.859375723,427.128592486,424.343290462,426.106309249,433.816742775,435.521174855,433.931614162,442.11467052,438.279297688,440.800877168,447.093115607,449.920628613,447.807393064,542.563780347,536.813352601,534.545731214,538.946539017,537.634458092,544.274849711,553.336043353,563.362291908,565.731539017,565.237424855,563.096739884,556.938184971,543.301362717,545.476257225,547.529039017,548.137934971,552.697684971,550.942067919,550.576182081,548.499612717
490,tell me about a situation that you wish you had handled differently,196.459,228.294,6372.5,212.383333682,0.969352176778,1.0,673.892771967,676.68108682,682.034291841,689.070655858,699.849439331,717.008472803,740.825801255,770.373816946,805.15960251,840.167963389,869.555559623,891.291114017,902.896676778,905.643860879,904.587882845,902.989851464,899.782222803,691.331323222,703.307986402,722.432843096,743.032316946,762.455706067,793.770355649,813.907396444,835.069334728,855.887021967,871.496656904,779.994131799,780.343633891,780.60784728,780.975858787,764.546405858,775.098087866,785.731027197,796.518674686,806.366964435,715.147455021,725.915470711,739.879299163,752.777937238,740.775987448,726.884942469,811.325373431,823.474531381,837.526158996,849.929800209,839.082944561,825.246655858,754.223839958,766.138669456,779.128458159,788.640853556,798.75015795,813.968495816,830.127200837,816.084717573,802.584410042,791.550530335,781.642943515,768.262033473,760.523261506,780.412900628,789.575127615,800.252540795,822.581523013,800.212725941,789.627241632,780.4466841,436.444355649,465.11509205,493.735346234,522.120932008,549.915232218,575.55925523,597.75116318,615.360692469,617.699404812,606.694526151,583.665214435,556.375279289,526.787816946,496.251425732,467.650706067,439.986946653,411.090628661,422.721162134,410.94923954,407.205458159,410.617634937,417.362329498,414.336550209,404.870812762,399.222008368,400.309947699,410.043179916,434.729687238,452.501514644,470.441225941,489.337316946,506.784969665,509.844096234,511.993559623,508.397683054,503.909429916,439.814901674,433.109471757,432.142839958,439.165311715,443.301720711,444.623591004,434.476633891,425.994888075,425.398703975,430.138706067,436.085787657,437.103987448,551.341828452,543.218643305,538.027747908,540.30964749,536.610696653,539.7643159,545.244375523,558.181322176,563.2015659,564.943612971,564.770037657,561.862986402,550.664916318,548.178270921,548.301366109,546.545508368,546.082753138,548.959414226,550.721309623,550.300392259
490,what's your dream job,270.149,279.266,8242.0,274.7,0.964604636364,1.0,710.477509091,708.048574545,708.05932,709.358287273,715.481672727,730.107189091,753.568949091,784.088745455,819.560069091,854.620523636,884.24104,907.786058182,922.357825455,929.527781818,933.451309091,937.204269091,938.745618182,738.927767273,754.991276364,776.613349091,798.400905455,818.512632727,850.250229091,870.424229091,890.374447273,908.971236364,920.566981818,834.411752727,833.882654545,833.484683636,832.980272727,807.99512,818.606,829.186894545,840.092898182,849.891345455,762.413192727,775.236843636,789.213461818,801.134134545,788.434083636,774.389796364,859.905021818,873.810705455,887.200032727,897.743036364,886.745974545,873.415221818,784.66936,801.813312727,817.24784,826.476676364,836.903149091,849.905607273,862.39764,848.618669091,835.511927273,824.376970909,814.378163636,799.869949091,791.824581818,816.329887273,825.71024,836.251785455,855.259763636,836.013509091,825.401836364,816.071854545,409.031905455,439.850349091,471.521025455,502.934941818,534.83668,564.60976,590.864723636,613.727112727,622.370876364,617.457803636,598.841338182,574.895014545,547.708712727,518.334465455,490.19328,462.399741818,433.279952727,411.43416,400.703905455,399.186145455,405.755690909,415.772596364,417.750403636,411.880501818,409.610854545,412.986829091,424.411247273,436.883865455,454.284269091,471.737490909,490.431730909,505.632883636,510.039981818,514.021218182,512.29592,509.131927273,432.592858182,428.515461818,429.463836364,437.401269091,439.705556364,439.008170909,441.352527273,435.570498182,437.165138182,443.172472727,447.0874,445.883607273,548.530970909,542.579621818,539.513512727,543.280196364,541.100938182,546.485516364,554.021698182,565.064032727,568.286869091,568.48904,567.055156364,561.908541818,548.926858182,550.013192727,551.438370909,551.240534545,553.937163636,553.502116364,553.919050909,552.415036364
490,have you been diagnosed with depression,483.698,486.3,14551.0,485.0,0.966525696203,1.0,729.435658228,725.179683544,723.733620253,723.848417722,729.079113924,742.505316456,764.619164557,793.581772152,828.041101266,862.582544304,892.73478481,917.137291139,932.717164557,941.047924051,946.669379747,952.075151899,955.282772152,758.244468354,775.628367089,797.160113924,817.874101266,836.493797468,868.916303797,889.358493671,909.532088608,927.648721519,938.418,850.921316456,849.042506329,847.393329114,845.600708861,820.539063291,830.816303797,840.897797468,851.613683544,861.512556962,779.539367089,792.563594937,807.12935443,818.377113924,805.199025316,790.471177215,876.127164557,890.604987342,904.487063291,914.585708861,903.317607595,889.475924051,796.864810127,814.060911392,828.851810127,837.485227848,847.434139241,859.708,871.600164557,857.887607595,845.345721519,834.861886076,825.464253165,811.800873418,803.948367089,827.688417722,836.458582278,846.47878481,864.167949367,846.445303797,836.463594937,827.765075949,401.589797468,433.065886076,465.768278481,498.062962025,529.90135443,559.442721519,584.855658228,606.66764557,616.211278481,614.380075949,600.132797468,579.850202532,554.732670886,526.011911392,497.690620253,469.850607595,441.178531646,394.654531646,384.745911392,384.699886076,392.464126582,403.877683544,409.137962025,405.222746835,405.319291139,410.853481013,424.118189873,427.593240506,443.916151899,460.124898734,477.551544304,495.264518987,499.789392405,503.841367089,503.112202532,500.939746835,419.503683544,414.707493671,416.963316456,427.308443038,428.969405063,427.086721519,436.500075949,430.260582278,433.10635443,441.383151899,444.577253165,442.306012658,539.270772152,532.210151899,529.051936709,533.161101266,531.666683544,538.688696203,548.642481013,556.323582278,557.94378481,557.493556962,555.829278481,551.190303797,539.463316456,539.996240506,541.610911392,542.098911392,547.477886076,543.556379747,543.244113924,541.43056962
490,have you noticed any changes in your behavior or thoughts lately,451.97,477.762,13947.0,464.866667097,0.955543536774,1.0,725.100830968,720.843545806,718.845338065,718.639947097,723.863192258,737.689829677,759.365138065,787.358535484,821.603532903,856.956203871,888.154504516,913.484898065,929.48448,938.033752258,943.129620645,948.067892903,951.040123871,753.69415871,770.025447742,791.292406452,812.354140645,831.58548,863.768183226,884.114136774,903.99000129,921.913268387,932.208659355,846.177489032,844.405034839,842.838180645,841.12615871,815.601531613,825.918141935,836.115677419,847.053766452,856.947534194,775.151658065,787.890863226,801.183211613,812.510656774,799.937393548,786.595792258,870.824245161,884.647036129,897.456461935,907.682179355,896.242508387,883.463541935,790.20211871,807.10032129,822.529727742,831.553655484,841.987690323,854.526594839,866.172375484,851.804962581,838.600790968,827.611356129,817.714788387,803.830776774,797.065357419,821.077508387,830.326749677,840.774393548,859.026197419,840.278007742,829.755117419,820.551846452,401.385183226,432.653979355,464.973313548,497.019405161,529.270307097,559.188234839,585.277123871,608.019703226,618.003411613,614.977932903,598.272554839,576.072379355,550.128797419,521.320387097,493.697010323,466.617926452,438.664584516,401.076850323,390.819788387,389.810029677,397.435965161,408.768819355,413.35816,409.296949677,408.800077419,413.833656774,426.158283871,433.664970323,449.847077419,466.002629677,483.448930323,499.011585806,503.739303226,508.219220645,507.415753548,505.08288129,426.275501935,423.901827097,425.515674839,432.85144129,434.478229677,433.023744516,441.026531613,437.654614194,440.330206452,446.188127742,448.827896774,446.640032258,541.778623226,535.572294194,533.074922581,537.492652903,536.092219355,542.799842581,551.963593548,561.703965161,563.973945806,563.502887742,561.459979355,555.548565161,542.329157419,544.036978065,546.016300645,546.65627871,551.177366452,548.997570323,548.717618065,546.772350968
490,tell me about the hardest decision you've ever had to make,230.038,256.37,7297.0,243.2,0.971041501896,1.0,693.643337547,694.188164349,697.020412137,701.186867257,709.999356511,726.480938053,750.666810367,780.95265866,815.653064475,849.716094817,878.138414665,900.09789507,913.188199747,918.656850822,920.82253603,922.828324905,922.797123894,718.284949431,732.366063211,753.76262579,776.106461441,797.116067004,827.890042984,848.23360177,868.853426043,888.754541087,901.993879899,814.019237674,814.282696587,814.568824273,814.857506953,792.217462705,803.196456384,814.281441214,825.39831732,835.392420986,744.026506953,756.230098609,769.977725664,782.422070796,770.16579646,756.389269279,841.643477876,854.883283186,868.29617067,879.626193426,868.629259166,855.304166877,774.554858407,789.971238938,804.544322377,814.185318584,824.80431732,838.482046776,852.007070796,838.643823009,825.670874842,814.237011378,803.950589128,789.729657396,781.506786346,804.500276865,814.119821745,825.026216182,844.78805689,824.941721871,814.007434893,804.402690265,427.335668774,457.67831732,488.158443742,518.306471555,548.542482933,576.472743363,601.22273957,622.008364096,627.892969659,620.069824273,599.187281922,573.858753477,545.883527181,516.391522124,488.227494311,460.476379267,431.171142857,429.250360303,417.315508217,414.453410872,419.708417193,428.514022756,428.023575221,420.432731985,416.312653603,418.29968268,428.911525917,447.009936789,465.054204804,483.210836915,502.455642225,516.46910493,520.524596713,523.982563843,521.011920354,516.906541087,446.384426043,441.884661188,441.734087231,448.465849558,451.51169153,451.859902655,448.192385588,441.92285335,442.519051833,447.1874311,451.879058154,451.669189633,559.103565107,552.934465234,549.233412137,552.351740834,549.406898862,553.361905183,559.198740834,571.343547408,575.795989886,576.868072061,575.961265487,571.648914033,559.183573957,559.150860936,560.098840708,559.042646018,559.756673831,561.109881163,562.346371681,561.277893805
